time,road_id,vehicle_count,average_speed
0,j7tj6_1,0,0
0,j7tj6_2,0,0
0,j7tj8_0,0,0
0,j7tj8_1,0,0
0,j7tj8_2,0,0
0,j8tj7_0,0,0
0,j8tj7_1,0,0
0,j8tj7_2,0,0
0,j9tj10_0,0,0
0,j9tj10_1,0,0
0,j9tj10_2,0,0
3000,j10tj11_0,0,0
3000,j10tj11_1,1,14.664750370572694
3000,j10tj11_2,0,0
3000,j10tj14_0,0,0
3000,j10tj14_1,0,0
3000,j10tj14_2,0,0
3000,j10tj5_0,0,0
3000,j10tj5_1,1,0.0
3000,j10tj5_2,1,2.056799533464841e-50
3000,j10tj9_0,1,20.167759745091583
3000,j10tj9_1,0,0
3000,j10tj9_2,0,0
3000,j11tj10_0,0,0
3000,j11tj10_1,2,10.15804047446233
3000,j11tj10_2,2,14.09654224352877
3000,j11tj12_0,0,0
3000,j11tj12_1,2,6.846498938589506
3000,j11tj12_2,0,0
3000,j11tj15_0,0,0
3000,j11tj15_1,0,0
3000,j11tj15_2,0,0
3000,j11tj6_0,0,0
3000,j11tj6_1,0,0
3000,j11tj6_2,0,0
3000,j12tj11_0,0,0
3000,j12tj11_1,0,0
3000,j12tj11_2,1,4.580625164314692e-06
3000,j12tj13_0,0,0
3000,j12tj13_1,0,0
3000,j12tj13_2,0,0
3000,j12tj16_0,0,0
3000,j12tj16_1,0,0
3000,j12tj16_2,0,0
3000,j12tj7_0,0,0
3000,j12tj7_1,0,0
3000,j12tj7_2,0,0
3000,j13tj12_0,0,0
3000,j13tj12_1,1,0.0
3000,j13tj12_2,0,0
3000,j14tj10_0,1,3.8873033945657802
3000,j14tj10_1,0,0
3000,j14tj10_2,0,0
3000,j15tj11_0,0,0
3000,j15tj11_1,1,0.0
3000,j15tj11_2,0,0
3000,j16tj12_0,0,0
3000,j16tj12_1,0,0
3000,j16tj12_2,2,4.462439538189754e-08
3000,j1tj5_0,0,0
3000,j1tj5_1,0,0
3000,j1tj5_2,0,0
3000,j2tj6_0,0,0
3000,j2tj6_1,0,0
3000,j2tj6_2,1,0.38459422370040813
3000,j3tj7_0,1,8.643137389490974
3000,j3tj7_1,0,0
3000,j3tj7_2,0,0
3000,j4tj5_0,0,0
3000,j4tj5_1,2,13.232560874931034
3000,j4tj5_2,0,0
3000,j5tj10_0,0,0
3000,j5tj10_1,0,0
3000,j5tj10_2,0,0
3000,j5tj1_0,0,0
3000,j5tj1_1,0,0
3000,j5tj1_2,0,0
3000,j5tj4_0,1,13.415048417810462
3000,j5tj4_1,1,13.932208962650076
3000,j5tj4_2,0,0
3000,j5tj6_0,0,0
3000,j5tj6_1,4,0.8212526893602239
3000,j5tj6_2,0,0
3000,j6tj11_0,2,12.203527648520993
3000,j6tj11_1,2,3.163903308013166
3000,j6tj11_2,0,0
3000,j6tj2_0,0,0
3000,j6tj2_1,0,0
3000,j6tj2_2,0,0
3000,j6tj5_0,0,0
3000,j6tj5_1,0,0
3000,j6tj5_2,0,0
3000,j6tj7_0,0,0
3000,j6tj7_1,1,2.2253960122246838e-56
3000,j6tj7_2,1,0.0
3000,j7tj12_0,0,0
3000,j7tj12_1,1,2.5099997140407106e-68
3000,j7tj12_2,0,0
3000,j7tj3_0,0,0
3000,j7tj3_1,0,0
3000,j7tj3_2,0,0
3000,j7tj6_0,0,0
3000,j7tj6_1,1,0.0
3000,j7tj6_2,0,0
3000,j7tj8_0,0,0
3000,j7tj8_1,0,0
3000,j7tj8_2,0,0
3000,j8tj7_0,0,0
3000,j8tj7_1,3,0.0
3000,j8tj7_2,0,0
3000,j9tj10_0,1,1.7507008080248783
3000,j9tj10_1,1,13.710919962163528
3000,j9tj10_2,0,0
6000,j10tj11_0,0,0
6000,j10tj11_1,0,0
6000,j10tj11_2,0,0
6000,j10tj14_0,0,0
6000,j10tj14_1,0,0
6000,j10tj14_2,0,0
6000,j10tj5_0,1,15.624044279204027
6000,j10tj5_1,0,0
6000,j10tj5_2,1,13.00875794643154
6000,j10tj9_0,0,0
6000,j10tj9_1,0,0
6000,j10tj9_2,0,0
6000,j11tj10_0,0,0
6000,j11tj10_1,4,0.07825280460616899
6000,j11tj10_2,0,0
6000,j11tj12_0,0,0
6000,j11tj12_1,0,0
6000,j11tj12_2,0,0
6000,j11tj15_0,1,14.010278475928253
6000,j11tj15_1,0,0
6000,j11tj15_2,0,0
6000,j11tj6_0,1,0.0
6000,j11tj6_1,1,15.387928935772731
6000,j11tj6_2,1,0.0
6000,j12tj11_0,0,0
6000,j12tj11_1,1,0.0
6000,j12tj11_2,1,3.884546106815476
6000,j12tj13_0,0,0
6000,j12tj13_1,0,0
6000,j12tj13_2,0,0
6000,j12tj16_0,0,0
6000,j12tj16_1,0,0
6000,j12tj16_2,0,0
6000,j12tj7_0,0,0
6000,j12tj7_1,2,5.145483314908557
6000,j12tj7_2,3,1.3816588582873342e-105
6000,j13tj12_0,1,3.8557200185919687
6000,j13tj12_1,2,12.92458289501544
6000,j13tj12_2,0,0
6000,j14tj10_0,0,0
6000,j14tj10_1,0,0
6000,j14tj10_2,0,0
6000,j15tj11_0,0,0
6000,j15tj11_1,2,7.974141515624451
6000,j15tj11_2,0,0
6000,j16tj12_0,0,0
6000,j16tj12_1,2,7.0990847015143575e-15
6000,j16tj12_2,0,0
6000,j1tj5_0,0,0
6000,j1tj5_1,0,0
6000,j1tj5_2,0,0
6000,j2tj6_0,0,0
6000,j2tj6_1,0,0
6000,j2tj6_2,1,4.373692179521386e-24
6000,j3tj7_0,1,7.438046971123012
6000,j3tj7_1,3,6.58183794667178
6000,j3tj7_2,0,0
6000,j4tj5_0,1,10.389787697871089
6000,j4tj5_1,3,3.7861777205502486e-14
6000,j4tj5_2,0,0
6000,j5tj10_0,0,0
6000,j5tj10_1,1,10.625642034068964
6000,j5tj10_2,0,0
6000,j5tj1_0,0,0
6000,j5tj1_1,0,0
6000,j5tj1_2,0,0
6000,j5tj4_0,0,0
6000,j5tj4_1,0,0
6000,j5tj4_2,0,0
6000,j5tj6_0,0,0
6000,j5tj6_1,3,3.9300759415419235
6000,j5tj6_2,0,0
6000,j6tj11_0,1,12.888777357037664
6000,j6tj11_1,2,5.545288900763463
6000,j6tj11_2,0,0
6000,j6tj2_0,0,0
6000,j6tj2_1,0,0
6000,j6tj2_2,0,0
6000,j6tj5_0,0,0
6000,j6tj5_1,5,4.5472949179677384e-14
6000,j6tj5_2,1,0.0
6000,j6tj7_0,0,0
6000,j6tj7_1,0,0
6000,j6tj7_2,0,0
6000,j7tj12_0,0,0
6000,j7tj12_1,1,17.132617238244286
6000,j7tj12_2,0,0
6000,j7tj3_0,3,12.485102996120082
6000,j7tj3_1,0,0
6000,j7tj3_2,0,0
6000,j7tj6_0,0,0
6000,j7tj6_1,3,0.0
6000,j7tj6_2,0,0
6000,j7tj8_0,0,0
6000,j7tj8_1,0,0
6000,j7tj8_2,0,0
6000,j8tj7_0,0,0
6000,j8tj7_1,1,14.769017444166069
6000,j8tj7_2,0,0
6000,j9tj10_0,0,0
6000,j9tj10_1,2,6.657417920547773
6000,j9tj10_2,0,0
9000,j10tj11_0,0,0
9000,j10tj11_1,1,13.709718597504766
9000,j10tj11_2,2,7.0830857168408565
9000,j10tj14_0,0,0
9000,j10tj14_1,0,0
9000,j10tj14_2,0,0
9000,j10tj5_0,0,0
9000,j10tj5_1,0,0
9000,j10tj5_2,0,0
9000,j10tj9_0,1,14.758059698054396
9000,j10tj9_1,0,0
9000,j10tj9_2,0,0
9000,j11tj10_0,0,0
9000,j11tj10_1,1,14.025793125250303
9000,j11tj10_2,1,0.0
9000,j11tj12_0,0,0
9000,j11tj12_1,2,6.65486537661921
9000,j11tj12_2,1,15.3469474732719
9000,j11tj15_0,0,0
9000,j11tj15_1,0,0
9000,j11tj15_2,0,0
9000,j11tj6_0,0,0
9000,j11tj6_1,1,0.0
9000,j11tj6_2,0,0
9000,j12tj11_0,0,0
9000,j12tj11_1,0,0
9000,j12tj11_2,0,0
9000,j12tj13_0,0,0
9000,j12tj13_1,0,0
9000,j12tj13_2,0,0
9000,j12tj16_0,0,0
9000,j12tj16_1,0,0
9000,j12tj16_2,0,0
9000,j12tj7_0,0,0
9000,j12tj7_1,0,0
9000,j12tj7_2,2,5.155225497375488
9000,j13tj12_0,0,0
9000,j13tj12_1,1,0.04425216690606521
9000,j13tj12_2,0,0
9000,j14tj10_0,0,0
9000,j14tj10_1,1,7.52760116142668
9000,j14tj10_2,0,0
9000,j15tj11_0,1,3.6544948105872823
9000,j15tj11_1,0,0
9000,j15tj11_2,0,0
9000,j16tj12_0,1,3.7426254959104113
9000,j16tj12_1,0,0
9000,j16tj12_2,0,0
9000,j1tj5_0,0,0
9000,j1tj5_1,0,0
9000,j1tj5_2,0,0
9000,j2tj6_0,0,0
9000,j2tj6_1,2,7.895860729936596
9000,j2tj6_2,0,0
9000,j3tj7_0,0,0
9000,j3tj7_1,1,6.8356550836981675
9000,j3tj7_2,0,0
9000,j4tj5_0,1,11.087222210903048
9000,j4tj5_1,4,2.3683936347542365
9000,j4tj5_2,0,0
9000,j5tj10_0,1,11.097774191631533
9000,j5tj10_1,0,0
9000,j5tj10_2,1,0.0
9000,j5tj1_0,0,0
9000,j5tj1_1,0,0
9000,j5tj1_2,0,0
9000,j5tj4_0,0,0
9000,j5tj4_1,0,0
9000,j5tj4_2,0,0
9000,j5tj6_0,0,0
9000,j5tj6_1,10,2.765025054943154
9000,j5tj6_2,0,0
9000,j6tj11_0,0,0
9000,j6tj11_1,0,0
9000,j6tj11_2,0,0
9000,j6tj2_0,0,0
9000,j6tj2_1,0,0
9000,j6tj2_2,0,0
9000,j6tj5_0,0,0
9000,j6tj5_1,2,5.250602996073296
9000,j6tj5_2,0,0
9000,j6tj7_0,0,0
9000,j6tj7_1,4,2.270113769783288
9000,j6tj7_2,0,0
9000,j7tj12_0,0,0
9000,j7tj12_1,2,12.852422628661511
9000,j7tj12_2,0,0
9000,j7tj3_0,1,15.233862176706733
9000,j7tj3_1,0,0
