vehicle_id,Travel_time
CAV_24,72.40000000000072
HDV_27,73.40000000000077
HDV_37,84.80000000000103
CAV_58,78.80000000000112
HDV_11,108.80000000000109
HDV_13,107.00000000000111
HDV_3,114.80000000000115
CAV_50,88.20000000000125
CAV_54,90.60000000000129
CAV_104,66.60000000000086
HDV_81,81.20000000000103
CAV_102,70.00000000000063
CAV_32,128.80000000000015
CAV_10,144.0
CAV_2,149.59999999999997
CAV_8,147.9999999999999
HDV_51,122.7999999999999
CAV_52,124.19999999999978
HDV_21,146.5999999999995
HDV_7,155.39999999999947
CAV_62,120.99999999999945
CAV_66,121.79999999999936
CAV_120,90.3999999999988
CAV_138,82.19999999999855
HDV_29,146.59999999999917
HDV_47,138.9999999999991
HDV_77,122.59999999999881
HDV_45,142.39999999999895
CAV_70,134.79999999999842
CAV_38,156.1999999999983
HDV_31,163.59999999999823
CAV_76,138.199999999998
HDV_35,164.99999999999798
HDV_69,146.7999999999978
HDV_71,147.79999999999768
CAV_4,187.99999999999773
HDV_79,153.99999999999696
HDV_59,167.19999999999706
HDV_73,160.59999999999687
CAV_82,155.19999999999675
CAV_14,205.79999999999637
CAV_100,155.39999999999594
HDV_113,147.39999999999583
HDV_117,149.1999999999956
HDV_141,133.59999999999528
CAV_34,199.399999999996
CAV_26,204.79999999999598
CAV_172,119.19999999999496
CAV_94,165.19999999999555
CAV_18,215.3999999999957
HDV_155,132.79999999999475
CAV_168,128.79999999999455
CAV_156,133.79999999999455
CAV_20,220.19999999999533
CAV_28,218.7999999999951
CAV_174,134.399999999994
CAV_176,136.59999999999377
HDV_39,221.79999999999467
HDV_243,99.19999999999436
HDV_157,153.99999999999363
HDV_95,194.19999999999396
CAV_6,248.59999999999422
HDV_215,124.7999999999929
HDV_107,190.59999999999366
HDV_151,166.7999999999932
HDV_63,221.59999999999386
HDV_1,259.1999999999938
CAV_314,75.39999999999574
CAV_108,202.19999999999305
HDV_291,92.39999999999478
HDV_149,176.79999999999262
CAV_152,175.9999999999925
HDV_145,184.5999999999924
HDV_235,132.1999999999925
CAV_22,261.199999999993
CAV_250,124.59999999999295
CAV_90,225.39999999999242
CAV_48,253.7999999999926
CAV_60,248.19999999999243
HDV_187,174.7999999999912
HDV_143,202.19999999999155
CAV_272,124.59999999999295
CAV_192,172.99999999999108
HDV_219,157.1999999999911
HDV_83,239.399999999992
HDV_223,154.99999999999122
HDV_203,167.79999999999086
CAV_68,248.99999999999199
HDV_207,167.39999999999077
HDV_123,218.39999999999148
CAV_300,111.3999999999937
HDV_131,214.79999999999131
HDV_255,140.79999999999202
HDV_271,132.5999999999925
CAV_290,121.59999999999312
HDV_237,154.59999999999124
CAV_284,126.79999999999282
CAV_44,271.5999999999917
HDV_251,148.3999999999916
HDV_101,238.39999999999128
HDV_353,86.5999999999951
CAV_74,253.39999999999145
HDV_303,119.59999999999323
HDV_285,131.19999999999257
CAV_326,108.19999999999388
CAV_128,227.39999999999077
CAV_72,260.5999999999912
HDV_355,96.99999999999451
CAV_84,263.19999999999055
CAV_288,140.59999999999204
HDV_33,298.19999999999055
HDV_61,283.5999999999904
HDV_263,164.79999999999066
CAV_324,130.19999999999263
CAV_346,117.79999999999333
CAV_362,109.99999999999378
CAV_144,243.799999999989
CAV_154,242.99999999998875
HDV_169,232.7999999999886
HDV_103,277.9999999999889
HDV_119,269.19999999998873
HDV_55,310.19999999998913
HDV_367,123.99999999999298
CAV_112,276.99999999998846
CAV_194,230.3999999999877
CAV_36,324.99999999998875
HDV_311,163.9999999999907
CAV_64,313.19999999998845
HDV_179,245.19999999998748
HDV_97,294.79999999998813
HDV_43,329.5999999999884
HDV_335,153.5999999999913
HDV_443,89.19999999999493
HDV_105,292.599999999988
CAV_264,197.99999999998877
CAV_56,320.9999999999883
HDV_347,149.39999999999154
CAV_78,314.5999999999879
CAV_358,145.59999999999175
CAV_30,344.599999999988
HDV_65,325.3999999999878
HDV_465,85.39999999999515
HDV_89,312.79999999998756
CAV_448,96.99999999999449
CAV_134,287.59999999998706
CAV_126,293.1999999999871
HDV_181,260.7999999999866
HDV_17,360.5999999999875
CAV_196,252.9999999999863
CAV_98,313.7999999999871
HDV_173,266.59999999998644
CAV_0,372.9999999999873
CAV_118,306.59999999998666
CAV_204,255.79999999998586
HDV_49,348.79999999998705
HDV_197,263.99999999998556
CAV_338,180.59999999998976
CAV_340,180.59999999998976
HDV_329,188.5999999999893
HDV_53,355.1999999999867
HDV_299,207.39999999998824
HDV_293,210.59999999998806
HDV_129,310.19999999998595
CAV_206,264.5999999999853
HDV_195,270.7999999999854
CAV_312,199.79999999998867
HDV_133,309.99999999998585
HDV_385,158.799999999991
HDV_397,152.39999999999137
CAV_376,165.9999999999906
HDV_269,232.99999999998678
HDV_25,378.99999999998613
HDV_359,181.5999999999897
HDV_373,172.7999999999902
HDV_343,191.19999999998916
CAV_188,285.39999999998486
HDV_395,162.1999999999908
HDV_41,377.39999999998577
HDV_167,304.99999999998465
HDV_415,155.99999999999116
HDV_457,131.59999999999252
HDV_455,135.79999999999228
HDV_75,366.599999999985
HDV_153,320.7999999999844
HDV_273,249.39999999998585
CAV_16,405.99999999998494
CAV_366,195.39999999998892
HDV_323,223.19999999998734
CAV_92,363.3999999999845
CAV_352,208.1999999999882
CAV_46,391.59999999998473
HDV_253,267.79999999998483
HDV_399,180.19999999998979
CAV_278,252.99999999998565
HDV_67,381.79999999998455
HDV_491,126.79999999999279
HDV_281,253.19999999998564
CAV_418,172.19999999999024
CAV_420,173.39999999999017
HDV_15,415.7999999999843
CAV_86,375.5999999999841
CAV_286,252.99999999998565
CAV_462,150.59999999999144
HDV_349,219.19999999998757
HDV_9,423.59999999998416
HDV_99,369.5999999999839
CAV_372,206.3999999999883
CAV_40,404.99999999998414
HDV_473,147.39999999999162
HDV_317,242.79999999998623
HDV_371,213.3999999999879
HDV_57,404.79999999998364
CAV_216,309.79999999998245
HDV_431,180.59999999998973
HDV_449,171.79999999999023
CAV_200,320.79999999998233
HDV_111,375.999999999983
HDV_233,301.99999999998283
HDV_135,361.3999999999828
HDV_435,182.19999999998964
CAV_280,276.79999999998427
HDV_345,239.7999999999864
CAV_402,208.79999999998816
HDV_387,219.99999999998752
CAV_414,203.19999999998848
CAV_442,190.79999999998915
HDV_175,350.9999999999817
HDV_423,202.19999999998853
CAV_96,400.99999999998215
CAV_222,331.3999999999812
CAV_214,337.79999999998086
HDV_277,304.59999999998274
HDV_419,216.7999999999877
HDV_403,229.99999999998695
HDV_497,174.59999999999008
HDV_315,283.99999999998386
HDV_405,232.99999999998678
CAV_178,370.1999999999804
CAV_12,472.3999999999813
HDV_425,226.79999999998714
CAV_392,248.19999999998592
CAV_42,459.99999999998096
HDV_23,475.19999999998083
HDV_5,484.99999999998073
HDV_369,268.5999999999848
CAV_136,409.59999999997996
HDV_127,413.99999999997993
HDV_177,388.19999999997947
HDV_417,244.7999999999861
HDV_115,426.79999999997995
CAV_198,378.1999999999791
CAV_164,399.7999999999794
CAV_190,384.7999999999791
HDV_19,491.59999999998
HDV_91,448.59999999997973
CAV_416,250.99999999998576
HDV_183,394.19999999997884
CAV_318,313.7999999999822
CAV_316,316.59999999998206
HDV_229,370.7999999999789
HDV_205,384.1999999999784
HDV_109,442.5999999999792
CAV_116,440.9999999999791
CAV_328,314.99999999998226
HDV_85,461.1999999999794
CAV_276,347.5999999999809
CAV_446,246.79999999998688
HDV_221,383.7999999999794
HDV_209,391.5999999999798
HDV_433,259.9999999999876
HDV_137,445.59999999998246
HDV_427,271.79999999998915
HDV_189,418.799999999983
CAV_140,457.19999999998566
CAV_228,405.3999999999859
CAV_354,331.79999999999086
CAV_458,273.1999999999949
HDV_121,479.39999999998804
CAV_478,265.3999999999965
HDV_139,471.79999999998864
HDV_333,355.39999999999225
