time,road_id,vehicle_count,average_speed

0.0,j10tj11,0,13.89
0.0,j10tj14,0,13.89
0.0,j10tj5,0,13.89
0.0,j10tj9,0,13.89
0.0,j11tj10,0,13.89
0.0,j11tj12,0,13.89
0.0,j11tj15,0,13.89
0.0,j11tj6,0,13.89
0.0,j12tj11,0,13.89
0.0,j12tj13,0,13.89
0.0,j12tj16,0,13.89
0.0,j12tj7,0,13.89
0.0,j13tj12,0,13.89
0.0,j14tj10,0,13.89
0.0,j15tj11,0,13.89
0.0,j16tj12,0,13.89
0.0,j1tj5,0,13.89
0.0,j2tj6,0,13.89
0.0,j3tj7,0,13.89
0.0,j4tj5,0,13.89
0.0,j5tj1,0,13.89
0.0,j5tj10,0,13.89
0.0,j5tj4,0,13.89
0.0,j5tj6,0,13.89
0.0,j6tj11,0,13.89
0.0,j6tj2,0,13.89
0.0,j6tj5,0,13.89
0.0,j6tj7,0,13.89
0.0,j7tj12,0,13.89
0.0,j7tj3,0,13.89
0.0,j7tj6,0,13.89
0.0,j7tj8,0,13.89
0.0,j8tj7,0,13.89
0.0,j9tj10,0,13.89
