vehicle_id,Travel_time
HDV_27,73.60000000000076
HDV_37,77.60000000000093
HDV_3,98.00000000000091
CAV_58,76.00000000000108
HDV_11,109.2000000000011
HDV_13,107.40000000000111
CAV_10,110.00000000000111
HDV_21,106.60000000000116
CAV_48,95.20000000000128
HDV_7,120.20000000000122
CAV_66,86.20000000000122
CAV_70,88.20000000000107
CAV_76,87.20000000000091
CAV_8,129.00000000000097
HDV_79,86.40000000000082
CAV_2,133.2000000000009
HDV_59,100.20000000000088
HDV_29,123.4000000000005
HDV_81,94.00000000000031
CAV_24,132.8000000000002
HDV_31,129.40000000000018
CAV_38,124.40000000000013
CAV_102,91.19999999999945
HDV_35,137.1999999999996
HDV_69,117.59999999999947
CAV_4,157.99999999999943
HDV_63,126.79999999999923
HDV_107,102.59999999999869
HDV_33,148.39999999999907
CAV_128,92.5999999999984
HDV_129,93.99999999999822
CAV_94,114.19999999999847
HDV_133,94.1999999999981
CAV_14,165.39999999999867
CAV_32,155.79999999999865
CAV_18,165.59999999999854
HDV_45,149.19999999999857
CAV_20,164.5999999999985
CAV_100,117.59999999999812
CAV_90,123.79999999999819
HDV_51,147.79999999999848
CAV_28,160.59999999999843
HDV_43,155.7999999999983
HDV_131,102.79999999999768
CAV_26,165.19999999999823
HDV_117,110.9999999999977
HDV_141,98.99999999999743
HDV_83,134.7999999999979
CAV_172,83.79999999999698
CAV_168,85.999999999997
HDV_1,188.19999999999783
CAV_30,170.59999999999783
CAV_138,115.59999999999667
CAV_68,156.7999999999972
CAV_108,134.99999999999685
CAV_52,169.19999999999723
CAV_62,162.99999999999704
HDV_223,69.79999999999603
CAV_74,158.79999999999683
CAV_118,135.99999999999636
CAV_72,163.79999999999671
HDV_207,83.79999999999549
CAV_54,175.59999999999656
CAV_22,199.39999999999648
CAV_50,179.7999999999965
HDV_73,176.199999999996
HDV_55,187.39999999999606
CAV_82,173.19999999999573
HDV_145,135.1999999999952
HDV_113,155.79999999999535
HDV_71,184.1999999999956
CAV_6,223.99999999999562
CAV_84,177.59999999999542
HDV_169,125.39999999999465
HDV_263,73.19999999999584
HDV_189,119.39999999999425
CAV_144,148.5999999999944
CAV_134,157.59999999999442
HDV_97,178.1999999999947
HDV_41,213.59999999999508
HDV_105,175.7999999999946
HDV_125,162.79999999999438
HDV_151,149.59999999999417
HDV_39,216.79999999999495
CAV_154,148.1999999999941
HDV_19,229.19999999999487
CAV_64,200.99999999999483
CAV_112,172.39999999999438
CAV_142,156.7999999999941
CAV_126,167.59999999999422
CAV_146,156.19999999999396
CAV_116,175.39999999999418
HDV_65,205.59999999999462
CAV_166,145.99999999999375
HDV_173,140.5999999999936
CAV_194,130.1999999999934
CAV_178,140.3999999999935
CAV_198,129.79999999999325
HDV_197,129.3999999999932
HDV_161,153.9999999999935
HDV_25,235.3999999999943
CAV_214,121.3999999999931
CAV_34,229.39999999999432
HDV_61,214.9999999999943
CAV_130,172.99999999999366
CAV_60,216.5999999999942
CAV_36,229.59999999999417
HDV_205,129.39999999999287
HDV_143,168.9999999999934
HDV_103,192.99999999999375
CAV_264,96.99999999999449
CAV_120,183.79999999999353
HDV_123,184.19999999999345
HDV_203,136.59999999999266
CAV_0,258.7999999999939
HDV_311,74.19999999999581
HDV_253,107.99999999999389
CAV_12,254.79999999999367
HDV_219,132.99999999999247
HDV_187,153.7999999999924
HDV_23,252.79999999999347
HDV_237,125.19999999999291
HDV_285,96.19999999999456
HDV_85,216.19999999999317
CAV_216,139.5999999999921
CAV_44,242.59999999999334
CAV_46,241.5999999999933
CAV_80,222.39999999999304
HDV_67,231.79999999999308
CAV_88,219.99999999999287
HDV_5,268.799999999993
HDV_243,126.39999999999284
CAV_98,215.59999999999272
HDV_49,243.19999999999308
HDV_47,246.999999999993
CAV_78,229.3999999999928
HDV_195,158.59999999999178
CAV_56,239.99999999999292
CAV_206,153.9999999999916
HDV_17,266.99999999999284
HDV_101,218.99999999999238
HDV_229,143.1999999999919
HDV_91,227.59999999999232
HDV_139,200.3999999999918
HDV_235,143.39999999999188
CAV_152,192.79999999999157
CAV_340,81.79999999999538
HDV_53,255.19999999999237
HDV_167,186.3999999999914
CAV_250,136.59999999999226
HDV_137,206.7999999999915
HDV_95,232.59999999999184
CAV_376,65.99999999999628
HDV_343,85.39999999999517
CAV_288,123.39999999999301
HDV_303,114.59999999999351
HDV_271,134.3999999999924
HDV_157,205.39999999999074
HDV_355,86.5999999999951
